   144/499     1.44G   0.03216   0.03168         0   0.06384        42       416    0.7157    0.8708    0.8829    0.5832   0.03747   0.01442         0
   145/499     1.44G   0.03251   0.03233         0   0.06483        31       416    0.7186    0.8708    0.8831    0.5823   0.03745   0.01441         0
   146/499     1.44G   0.03232    0.0318         0   0.06412        26       416    0.7159    0.8708    0.8829    0.5833   0.03742   0.01441         0
   147/499     1.44G   0.03242   0.03193         0   0.06435        28       416    0.7145    0.8708     0.883    0.5843   0.03738    0.0144         0
   148/499     1.44G    0.0322   0.03224         0   0.06444        33       416    0.7139    0.8708    0.8833    0.5834   0.03737   0.01439         0
   149/499     1.44G   0.03234   0.03168         0   0.06402        32       416     0.721    0.8708    0.8835    0.5845   0.03733   0.01438         0
   150/499     1.44G   0.03205   0.03165         0    0.0637        42       416    0.7219    0.8708    0.8833    0.5854    0.0373   0.01437         0
   151/499     1.44G   0.03205   0.03141         0   0.06346        38       416    0.7196    0.8708    0.8838    0.5853   0.03727   0.01436         0
   152/499     1.44G   0.03204   0.03189         0   0.06392        39       416    0.7201    0.8708    0.8839     0.584   0.03725   0.01435         0
   153/499     1.44G   0.03179   0.03184         0   0.06363        35       416    0.7203    0.8708    0.8842    0.5853   0.03723   0.01433         0
   154/499     1.44G   0.03179   0.03147         0   0.06326        33       416    0.7221    0.8708    0.8845    0.5864    0.0372   0.01433         0
   155/499     1.44G   0.03164   0.03139         0   0.06303        33       416    0.7189    0.8682    0.8835    0.5878   0.03717   0.01432         0
   156/499     1.44G   0.03199   0.03185         0   0.06384        42       416    0.7223    0.8708    0.8849    0.5871   0.03715   0.01431         0
   157/499     1.44G   0.03188   0.03149         0   0.06337        34       416    0.7213    0.8682    0.8851    0.5868   0.03712   0.01431         0
   158/499     1.44G   0.03207   0.03147         0   0.06353        26       416    0.7208    0.8673    0.8845    0.5845    0.0371    0.0143         0
   159/499     1.44G   0.03197   0.03166         0   0.06363        32       416    0.7177    0.8656    0.8833     0.585   0.03708   0.01429         0
